Entity,Year,Population,"Electricity
 Generation (TWh)","Per capita 
electricity (kWh)",Coal %,Oil %,Gas %,Nuclear %,Solar %,Wind %,Hydro %,Other renewables %,Renewables %,Fossil fuels %,Low-carbon electricity %
Afghanistan,2019,38042000,1.283,33.73,0.00,0.00,13.71,0.00,2.88,0.00,83.40,0.00,86.29,13.71,86.29
Albania,2019,2881000,4.019,"1,395.00",0.00,0.00,0.00,0.00,0.02,0.00,99.98,0.00,100.00,0.00,100.00
Algeria,2019,43053000,73.715,"1,712.20",0.00,0.00,99.02,0.00,0.94,0.01,0.03,0.00,0.98,99.02,0.98
American Samoa,2019,55000,0.168,"3,060.61",0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
Angola,2019,31825000,11.132,349.78,0.00,9.98,11.93,0.00,0.16,0.00,75.66,2.27,78.09,21.91,78.09
Antigua and Barbuda,2019,97000,0.333,"3,432.99",0.00,98.10,0.00,0.00,1.90,0.00,0.00,0.00,1.90,98.10,1.90
Argentina,2019,44781000,129.035,"2,881.47",1.35,4.58,56.14,6.14,0.09,1.69,27.77,2.25,31.80,62.06,37.94
Armenia,2019,2958000,6.668,"2,254.23",0.00,0.00,40.83,25.10,0.05,0.02,33.99,0.00,34.07,40.83,59.17
Aruba,2019,106000,0.919,"8,669.81",0.00,85.24,0.00,0.00,0.98,13.13,0.00,0.65,14.76,85.24,14.76
Australia,2019,25203000,252.089,"10,002.36",57.00,1.98,19.98,0.00,6.79,7.91,4.95,1.38,21.04,78.96,21.04
Austria,2019,8955000,73.146,"8,168.16",2.19,3.57,15.12,0.00,2.00,10.71,59.99,,,20.87,
Azerbaijan,2019,10048000,23.920,"2,380.57",0.00,45.84,45.65,0.00,0.20,0.12,7.50,0.69,8.50,91.50,8.50
Bahamas,2019,389000,1.724,"4,431.02",0.00,99.88,0.00,0.00,0.12,0.00,0.00,0.00,0.12,99.88,0.12
Bahrain,2019,1641000,27.712,"16,887.26",0.00,0.10,99.87,0.00,0.03,0.00,0.00,0.00,0.03,99.97,0.03
Bangladesh,2019,163046000,73.434,450.39,2.11,21.69,74.10,0.00,0.75,0.01,1.33,0.01,2.10,97.90,2.10
Barbados,2019,287000,1.046,"3,644.60",0.00,96.62,0.00,0.00,3.38,0.00,0.00,0.00,3.38,96.62,3.38
Belarus,2019,9452000,37.791,"3,998.17",0.00,0.00,97.53,0.00,0.31,0.32,1.32,0.52,2.47,97.53,2.47
Belgium,2019,11539000,91.687,"7,945.85",0.10,3.38,26.32,47.37,4.29,10.33,1.50,,,29.80,
Belize,2019,390000,0.418,"1,072.65",0.00,3.59,0.00,0.00,1.20,0.00,66.61,28.61,96.41,3.59,96.41
Benin,2019,11801000,0.311,26.33,0.00,32.45,65.72,0.00,1.61,0.00,0.32,-0.11,1.82,98.18,1.82
Bermuda,2019,63000,0.618,"9,809.52",0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
Bhutan,2019,763000,7.625,"9,993.45",0.00,0.00,0.00,0.00,0.01,0.01,99.97,0.00,100.00,0.00,100.00
Bolivia,2019,11513000,10.260,891.20,0.00,0.00,70.61,0.00,0.11,0.74,25.68,2.86,29.39,70.61,29.39
Bosnia and Herzegovina,2019,3301000,19.343,"5,859.64",64.37,0.00,0.00,0.00,0.14,0.01,35.25,0.22,35.63,64.37,35.63
Botswana,2019,2304000,2.858,"1,240.45",99.93,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.07,99.93,0.07
Brazil,2019,211050000,603.596,"2,859.97",3.90,2.05,8.33,2.67,0.98,9.27,63.86,8.93,83.04,14.29,85.71
British Virgin Islands,2019,30000,0.193,"6,421.11",0.00,99.33,0.00,0.00,0.16,0.52,0.00,0.00,0.67,99.33,0.67
Brunei,2019,433000,3.895,"8,994.61",0.00,0.00,99.95,0.00,0.05,0.00,0.00,0.00,0.05,99.95,0.05
Bulgaria,2019,7000000,44.820,"6,402.91",41.61,0.89,6.52,36.95,3.14,2.96,7.22,,,49.02,
Burkina Faso,2019,20321000,1.151,56.63,0.00,84.75,0.00,0.00,3.01,0.00,12.14,0.10,15.25,84.75,15.25
Burundi,2019,11531000,0.235,20.41,0.00,7.51,0.00,0.00,3.82,0.00,85.55,3.12,92.49,7.51,92.49
Cambodia,2019,16487000,7.547,457.75,56.82,3.29,0.00,0.00,0.08,0.00,39.06,0.75,39.89,60.11,39.89
Cameroon,2019,25876000,8.531,329.70,0.00,9.29,36.15,0.00,0.21,0.00,54.31,0.04,54.56,45.44,54.56
Canada,2019,37411000,629.827,"16,835.34",9.23,0.58,9.15,15.20,0.68,4.79,59.20,1.18,65.84,18.96,81.04
Cape Verde,2019,550000,0.464,843.03,0.00,82.24,0.00,0.00,1.58,16.18,0.00,0.00,17.76,82.24,17.76
Cayman Islands,2019,65000,0.667,"10,256.41",0.00,97.20,0.00,0.00,2.80,0.00,0.00,0.00,2.80,97.20,2.80
Central African Republic,2019,4745000,0.145,30.64,0.00,0.69,0.00,0.00,0.28,0.00,99.04,0.00,99.31,0.69,99.31
Chad,2019,15947000,0.234,14.69,0.00,94.75,0.00,0.00,0.13,5.12,0.00,0.00,5.25,94.75,5.25
Chile,2019,18952000,78.127,"4,122.36",22.53,13.81,17.51,0.00,7.42,5.47,26.47,6.78,46.15,53.85,46.15
China,2019,1433784064,"7,325.200","5,109.00",62.25,1.84,3.26,4.76,3.06,5.54,17.77,1.53,27.89,67.35,32.65
Colombia,2019,50339000,71.574,"1,421.84",5.70,0.70,9.51,0.00,0.02,0.00,82.08,2.01,84.11,15.91,84.11
Comoros,2019,851000,0.040,47.24,0.00,100.33,0.00,0.00,0.00,0.00,-0.33,0.00,-0.33,100.33,-0.33
Congo,2019,5381000,3.528,655.70,0.00,65.23,0.00,0.00,0.03,0.00,34.74,0.00,34.77,65.23,34.77
Cook Islands,2019,18000,0.038,"2,111.11",0.00,82.46,0.00,0.00,17.54,0.00,0.00,0.00,17.54,82.46,17.54
Costa Rica,2019,5048000,11.186,"2,215.99",0.00,0.11,0.00,0.00,0.04,12.13,78.59,9.12,99.89,0.11,99.89
Cote d'Ivoire,2019,25717000,10.222,397.48,0.00,0.00,82.62,0.00,0.08,0.00,15.39,1.91,17.38,82.62,17.38
Croatia,2019,4130000,11.984,"2,901.57",11.41,1.75,25.79,0.00,0.66,10.05,45.96,,,38.95,
Cuba,2019,11333000,19.473,"1,718.23",0.00,85.56,10.44,0.00,0.36,0.10,0.48,3.06,4.00,96.00,4.00
Cyprus,2019,1199000,5.004,"4,173.78",0.00,91.30,0.00,0.00,3.44,4.23,0.00,,,91.30,
Czech Republic,2019,10689000,86.222,"8,066.45",42.64,2.66,6.63,35.03,2.66,0.83,3.75,,,51.93,
Democratic Republic of Congo,2019,86791000,9.612,110.75,0.00,0.10,0.00,0.00,0.09,0.00,99.60,0.20,99.90,0.10,99.90
Denmark,2019,5772000,31.113,"5,390.27",14.80,0.00,0.00,0.00,3.07,52.30,0.06,,,14.80,
Djibouti,2019,974000,0.381,391.34,0.00,99.87,0.00,0.00,0.13,0.00,0.00,0.00,0.13,99.87,0.13
Dominica,2019,72000,0.077,"1,065.74",0.00,61.69,0.00,0.00,0.52,1.30,36.49,0.00,38.31,61.69,38.31
Dominican Republic,2019,10739000,17.872,"1,664.18",17.53,48.39,18.33,0.00,0.98,2.37,11.40,1.00,15.75,84.25,15.75
Ecuador,2019,17374000,30.602,"1,761.39",0.00,11.44,11.57,0.00,0.12,0.21,75.10,1.56,76.99,23.01,76.99
Egypt,2019,100388000,197.831,"1,970.66",0.00,8.10,80.83,0.00,2.00,2.19,6.74,0.15,11.07,88.93,11.07
El Salvador,2019,6454000,5.012,776.52,0.00,19.20,0.00,0.00,4.74,0.00,32.11,43.96,80.80,19.20,80.80
Equatorial Guinea,2019,1356000,1.753,"1,292.77",0.00,0.00,63.97,0.00,0.00,0.00,36.03,0.00,36.03,63.97,36.03
Eritrea,2019,3497000,0.409,116.86,0.00,99.02,0.00,0.00,0.49,0.49,0.00,0.00,0.98,99.02,0.98
Estonia,2019,1326000,8.239,"6,213.80",6.08,69.61,0.74,0.00,0.04,8.94,0.29,,,76.42,
Ethiopia,2019,112079000,14.858,132.57,0.00,0.03,0.00,0.00,0.16,6.01,93.62,0.18,99.97,0.03,99.97
Falkland Islands,2019,3000,0.017,"5,555.56",0.00,46.00,0.00,0.00,0.00,54.00,0.00,0.00,54.00,46.00,54.00
Fiji,2019,890000,1.151,"1,293.63",0.00,40.42,0.00,0.00,0.93,0.06,53.33,5.27,59.58,40.42,59.58
Finland,2019,5532000,64.824,"11,718.01",7.21,0.91,6.19,36.69,0.07,9.83,19.19,,,14.30,
France,2019,65130000,568.871,"8,734.39",0.72,1.48,6.75,70.07,2.16,6.03,11.13,,,8.95,
French Guiana,2019,291000,1.191,"4,093.93",0.00,13.99,32.18,0.00,4.31,0.00,48.74,0.78,53.83,46.17,53.83
French Polynesia,2019,279000,0.619,"2,218.52",0.00,65.65,0.00,0.00,5.98,0.05,28.33,0.00,34.35,65.65,34.35
Gabon,2019,2173000,2.239,"1,030.53",0.00,5.81,54.43,0.00,0.09,0.00,39.16,0.51,39.76,60.24,39.76
Gambia,2019,2348000,0.310,132.07,0.00,99.00,0.00,0.00,0.97,0.03,0.00,0.00,1.00,99.00,1.00
Georgia,2019,3997000,12.366,"3,093.90",0.00,0.00,15.41,0.00,0.00,0.95,83.64,0.00,84.59,15.41,84.59
Germany,2019,83517000,606.640,"7,263.67",28.28,2.10,15.27,12.40,7.70,20.83,4.08,,,45.64,
Ghana,2019,30418000,14.330,471.11,0.00,0.00,61.34,0.00,0.25,0.00,38.27,0.13,38.66,61.34,38.66
Gibraltar,2019,34000,0.274,"8,049.02",0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
Greece,2019,10473000,52.197,"4,983.96",24.18,10.53,34.73,0.00,7.61,13.65,8.70,,,69.44,
Greenland,2019,57000,0.505,"8,853.80",0.00,26.22,0.00,0.00,0.00,0.00,73.78,0.00,73.78,26.22,73.78
Grenada,2019,112000,0.220,"1,961.31",0.00,97.88,0.00,0.00,1.67,0.46,0.00,0.00,2.12,97.88,2.12
Guadeloupe,2019,400000,1.652,"4,130.83",0.00,87.35,0.00,0.00,5.39,3.07,0.00,4.20,12.65,87.35,12.65
Guam,2019,167000,1.737,"10,399.20",0.00,95.99,0.00,0.00,4.01,0.00,0.00,0.00,4.01,95.99,4.01
Guatemala,2019,17581000,12.161,691.73,11.93,15.31,0.00,0.00,1.77,2.09,45.73,23.17,72.76,27.24,72.76
Guinea,2019,12771000,1.805,141.34,0.00,33.61,0.00,0.00,1.16,0.00,65.23,0.00,66.39,33.61,66.39
Guinea-Bissau,2019,1921000,0.036,18.91,0.00,97.25,0.00,0.00,2.75,0.00,0.00,0.00,2.75,97.25,2.75
Guyana,2019,783000,1.074,"1,371.35",0.00,96.54,0.00,0.00,1.18,0.01,0.00,2.27,3.46,96.54,3.46
Haiti,2019,11263000,0.953,84.58,0.00,90.62,0.00,0.00,0.03,0.00,9.34,0.00,9.38,90.62,9.38
Honduras,2019,9746000,9.300,954.20,0.00,33.45,1.66,0.00,11.75,5.90,36.28,10.95,64.89,35.11,64.89
Hong Kong,2019,7436000,33.925,"4,562.26",66.45,0.00,33.22,0.00,0.00,0.01,0.00,0.32,0.33,99.67,0.33
Hungary,2019,9685000,33.058,"3,413.33",13.80,0.00,25.73,49.30,1.06,2.26,0.70,,,39.53,
Iceland,2019,339000,19.957,"58,869.22",0.00,0.00,0.00,0.00,0.00,0.04,68.75,31.21,100.00,0.00,100.00
India,2019,1366418048,"1,378.174","1,008.60",72.45,0.01,3.48,3.28,3.36,4.59,11.74,1.09,20.78,75.94,24.06
